,Close,Consumer Price Index: Total All Items for the United States,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Real M2 Money Stock,Unemployment Rate,Federal Funds Effective Rate,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
1977-03-01,100.660004,0.676818950930618,6.112229251,0.56386,1994.1,7.4,4.7,7.49,59.6
1977-04-01,99.209999,0.840336134453785,6.591159521,0.72915,1999.3,7.2,4.72,7.43,60.0
1977-06-01,96.93,0.663349917081263,6.930956833,0.71279,2012.9,7.2,5.24,7.38,60.5
1977-07-01,100.099998,0.494233937397037,6.892219332,0.63867,2017.6,6.9,5.36,7.34,60.8
1977-08-01,99.120003,0.327868852459018,6.843199666,0.52317,2024.5,7.0,5.84,7.43,61.1
1977-09-01,96.830002,0.326797385620916,6.883555545,0.57984,2033.0,6.8,6.06,7.3,61.3
1977-11-01,91.349998,0.487012987012989,7.010588577,0.57493,2036.1,6.8,6.65,7.63,62.0
1977-12-01,94.690002,0.323101777059775,7.387469073,0.58618,2039.0,6.4,6.52,7.58,62.3
1978-02-01,89.93,0.640000000000003,7.365140892,0.53485,2040.5,6.3,7.18,7.96,63.0
1978-03-01,87.190002,0.794912559618445,7.457868288,0.66535,2038.2,6.3,6.86,8.05,63.4
1978-05-01,97.669998,0.938967136150239,7.667650906,0.77679,2031.8,6.0,7.27,8.24,64.5
1978-06-01,97.349998,1.08527131782946,7.705467144,0.78402,2028.5,5.9,7.48,8.41,65.0
1978-08-01,100.660004,0.456621004566212,8.204046896,0.78954,2023.5,5.9,7.97,8.54,65.9
1978-09-01,103.68,0.757575757575741,8.605577994,0.93873,2022.6,6.0,8.33,8.38,66.5
1978-11-01,96.849998,0.447093889716842,9.237557806,0.7336,2013.5,5.9,9.87,8.66,67.5
1978-12-01,96.279999,0.445103857566767,9.071115875,0.47953,2011.8,6.0,9.95,8.8,67.9
1979-02-01,99.959999,1.17130307467056,9.586034706,0.97056,1991.0,5.9,10.05,8.94,69.2
1979-03-01,96.900002,1.01302460202605,9.689852424,0.77941,1985.4,5.8,10.05,9.17,69.9
1979-05-01,101.68,1.27478753541075,10.09794116,0.93987,1975.1,5.6,10.38,9.36,71.4
1979-06-01,99.169998,1.11888111888112,10.284819787,0.9187,1970.9,5.7,10.24,9.05,72.2
1979-08-01,104.169998,0.95759233926129,10.954395743,1.11949,1962.8,6.0,10.75,8.99,73.7
1979-10-01,108.559998,0.804289544235911,11.279514365,1.15348,1942.0,6.0,12.06,9.51,75.2
1979-11-01,102.57,0.930851063829791,11.951758189,1.28115,1928.8,5.9,15.26,10.79,76.0
1980-02-01,115.120003,1.41388174807199,13.627778119,1.02607,1891.9,6.3,13.44,11.29,79.0
1980-04-01,102.18,1.12359550561798,14.786779517,1.23169,1856.9,6.9,19.79,12.69,80.9
1980-05-01,105.459999,0.987654320987642,15.147255922,1.18443,1851.0,7.5,14.07,10.57,81.7
1980-07-01,114.93,0.0,14.178529783,-0.27088,1871.1,7.8,9.47,10.13,82.6
1980-08-01,121.209999,0.725513905683195,13.314194421,0.43162,1876.8,7.7,10.48,10.76,83.2
1980-10-01,127.129997,0.952380952380956,13.133051948,1.11567,1871.1,7.5,13.05,11.78,84.7
1980-12-01,137.210007,0.935672514619887,12.732242952,1.00023,1851.6,7.2,17.71,12.92,86.4
1981-04-01,136.570007,0.677966101694918,9.752589153,0.71944,1862.2,7.2,14.51,13.14,89.1
1981-05-01,132.720001,0.785634118967456,9.645887355,1.07895,1855.3,7.5,19.79,14.05,89.7
1981-06-01,132.410004,0.890868596881964,9.250210999,1.09297,1845.6,7.5,19.01,13.46,90.5
1981-07-01,129.770004,1.1037527593819,11.274384726,1.40103,1838.1,7.2,21.09,14.04,91.5
1981-09-01,123.019997,0.975081256771402,12.262533118,1.14763,1832.4,7.6,17.52,15.41,93.1
1981-10-01,117.080002,0.214592274678112,11.298313544,0.30285,1843.5,7.9,16.96,15.75,93.4
1981-12-01,126.099998,0.320170757737447,9.884984782,0.38439,1865.6,8.5,13.03,13.37,94.1
1982-02-01,117.779999,0.318133616118771,9.56769049,0.41848,1873.8,8.9,15.69,14.58,94.7
1982-03-01,113.309998,-0.105708245243129,8.920648287,0.02245,1886.5,9.0,14.11,13.85,94.7
1982-04-01,113.790001,0.423280423280425,9.112202163,0.85134,1898.8,9.3,15.48,14.1,95.0
1982-06-01,111.68,1.25260960334028,8.909836827,0.94231,1882.5,9.6,13.76,13.93,97.0
1982-07-01,108.709999,0.515463917525775,7.912560428,0.55866,1878.5,9.8,14.73,14.4,97.5
1982-09-01,118.25,0.204708290685774,6.003409335,-0.01263,1902.1,10.1,11.28,12.76,97.7
1982-10-01,121.970001,0.306435137895813,6.000904404,0.2898,1905.9,10.4,10.87,11.51,98.1
1982-11-01,135.470001,-0.203665987780042,5.327823771,-0.12288,1922.1,10.8,9.43,10.56,98.0
1982-12-01,138.720001,-0.408163265306124,4.518985485,-0.28104,1950.8,10.8,9.1,10.74,97.7
1983-02-01,142.960007,0.102249488752557,4.62783567,0.35447,2037.6,10.4,8.63,10.78,98.0
1983-03-01,150.880005,0.0,4.855813143,0.23015,2054.2,10.3,8.65,10.22,98.1
1983-06-01,162.550003,0.302419354838711,2.843739681,0.29006,2065.9,10.1,9.38,10.77,99.4
1983-07-01,168.639999,0.402010050251258,2.630755198,0.32384,2068.9,9.4,9.31,10.93,99.8
1983-08-01,162.039993,0.300300300300302,2.553400975,0.3227,2071.9,9.5,9.64,11.8,100.1
1983-09-01,164.229996,0.499001996007973,2.944004571,0.34062,2074.9,9.2,9.61,11.97,100.4
1983-11-01,163.660004,0.198019801980199,3.751793567,0.43721,2089.3,8.5,9.45,11.69,101.1
1983-12-01,166.490005,0.0988142292490123,4.465480085,0.29367,2094.2,8.3,9.46,11.63,101.4
1984-02-01,162.740005,0.49067713444555,4.524563869,0.39848,2103.5,7.8,9.74,11.64,102.6
1984-03-01,158.190002,0.195312500000001,4.65415841,0.33009,2113.9,7.8,9.73,12.07,102.9
1984-05-01,161.679993,0.290979631425814,4.708074066,0.30699,2129.6,7.4,11.04,12.82,103.5
1984-06-01,153.240005,0.290135396518364,4.787485493,0.3598,2136.1,7.2,10.53,13.63,103.7
1984-08-01,154.080002,0.384245917387129,5.032939607,0.4373,2136.4,7.5,12.04,12.81,104.4
1984-10-01,164.619995,0.285714285714287,5.103857709,0.39135,2149.3,7.4,11.38,12.54,105.1
1984-11-01,167.490005,0.0,4.968986894,0.32457,2166.6,7.2,10.26,11.66,105.3
1985-02-01,178.630005,0.473933649289102,4.871701461,0.53406,2214.6,7.2,8.74,11.29,106.3
1985-03-01,183.229996,0.377358490566039,4.962072036,0.40295,2215.5,7.2,8.74,11.86,106.8
1985-04-01,181.270004,0.469924812030065,4.754134291,0.31872,2220.0,7.3,8.83,11.66,107.0
1985-05-01,178.369995,0.37418147801684,5.037120921,0.54152,2229.0,7.2,8.83,11.27,107.2
1985-07-01,192.429993,0.185873605947956,4.948295318,0.32311,2255.8,7.4,8.12,10.19,107.7
1985-08-01,192.110001,0.185528756957329,4.94547442,0.44031,2265.1,7.1,8.26,10.51,107.9
1985-10-01,185.070007,0.369344413665745,4.891950804,0.5079,2274.7,7.1,8.26,10.29,108.5
1985-11-01,191.529999,0.275988960441584,5.149995169,0.54154,2273.2,7.0,8.32,9.98,109.0
1986-04-01,235.139999,-0.183823529411765,5.370857251,0.44807,2353.1,7.1,7.49,7.37,108.7
1986-05-01,235.160004,0.276243093922641,5.040741681,0.26249,2371.4,7.2,7.13,7.45,109.0
1986-07-01,252.039993,0.0,4.975291061,0.27854,2398.7,7.0,6.97,7.37,109.5
1986-08-01,234.910004,0.182648401826473,4.838260997,0.30286,2414.7,6.9,6.38,7.34,109.6
1986-10-01,233.600006,0.0907441016333822,4.897657302,0.41434,2438.7,7.0,5.99,7.41,110.2
1986-12-01,249.050003,0.090579710144916,4.64519092,0.33091,2462.1,6.6,6.38,7.18,110.8
1987-04-01,292.380005,0.535236396074935,4.358079784,0.50201,2455.8,6.3,6.22,7.59,112.7
1987-05-01,288.029999,0.354924578527064,4.416917659,0.30051,2453.9,6.3,7.67,8.39,113.0
1987-06-01,289.829987,0.353669319186562,4.175391862,0.1845,2444.6,6.2,6.74,8.45,113.5
1987-07-01,302.940002,0.26431718061673,4.166490008,0.28823,2442.0,6.1,6.07,8.36,113.8
1987-09-01,323.399994,0.524475524475527,4.291035748,0.40715,2440.7,5.9,6.84,9.05,114.7
1987-10-01,327.329987,0.260869565217404,4.343067431,0.46466,2447.7,6.0,7.71,9.66,115.0
1987-12-01,232.0,0.0,4.302583149,0.31168,2445.0,5.7,7.04,9.01,115.6
1988-02-01,255.039993,0.259291270527215,4.386553409,0.34159,2470.2,5.7,6.96,8.26,116.2
1988-03-01,267.220001,0.431034482758634,4.451939222,0.40317,2481.3,5.7,6.66,8.15,116.5
1988-06-01,266.690002,0.425531914893608,4.685384324,0.4003,2490.2,5.4,7.24,9.03,118.0
1988-07-01,271.779999,0.423728813559324,4.712055892,0.32624,2487.1,5.4,7.75,8.77,118.5
1988-08-01,272.209991,0.421940928270033,4.685749317,0.39147,2480.7,5.6,7.91,9.07,119.0
1988-09-01,258.350006,0.672268907563028,4.73102913,0.44388,2474.4,5.4,8.27,9.25,119.5
1988-11-01,279.059998,0.0831946755407767,4.751873732,0.37828,2477.3,5.3,8.35,8.68,120.3
1988-12-01,272.48999,0.166251039068995,4.798725378,0.35963,2475.7,5.3,8.54,9.01,120.7
1989-02-01,297.089996,0.41288191577208,4.792426849,0.37543,2460.7,5.2,9.02,8.99,121.6
1989-03-01,287.109985,0.575657894736855,4.760352769,0.36665,2454.7,5.0,9.82,9.36,122.2
1989-05-01,309.119995,0.56864337936636,4.751380664,0.47397,2434.6,5.2,9.85,9.14,123.7
1989-06-01,321.970001,0.242326332794821,4.753801306,0.38933,2439.9,5.3,9.84,8.61,124.1
1989-08-01,343.75,0.160771704180044,4.865522153,0.35467,2469.4,5.2,8.95,7.74,124.5
1989-09-01,353.730011,0.321027287319424,4.684441734,0.30425,2478.0,5.3,8.93,8.19,124.8
