,Close,Consumer Price Index: Total All Items for the United States,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Real M2 Money Stock,Unemployment Rate,Federal Funds Effective Rate,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
1972-05-01,106.690002,0.240963855421688,3.880713129,0.25711,1786.8,5.7,4.25,6.14,41.6
1972-06-01,109.690002,0.240384615384616,3.504240606,0.31978,1797.8,5.7,4.44,6.07,41.7
1972-08-01,108.400002,0.238663484486859,3.380601319,0.2857,1834.6,5.6,4.63,6.14,41.9
1972-09-01,111.510002,0.238095238095239,3.137835466,0.13167,1848.7,5.5,5.19,6.43,42.1
1972-11-01,112.669998,0.236406619385344,3.281095844,0.26072,1872.4,5.3,5.5,6.39,42.4
1972-12-01,117.379997,0.235849056603775,3.153985901,0.22246,1887.8,5.2,5.25,6.29,42.5
1973-02-01,114.760002,0.704225352112679,2.886258664,0.29682,1893.3,5.0,6.44,6.6,43.0
1973-03-01,111.050003,0.932400932400936,2.934248028,0.28941,1878.6,4.9,7.0,6.65,43.4
1973-05-01,107.099998,0.688073394495416,3.180735955,0.4776,1883.4,4.9,7.88,6.72,43.9
1973-06-01,103.93,0.683371298405455,3.104206448,0.33368,1885.3,4.9,8.44,6.96,44.2
1973-08-01,106.830002,1.80586907449211,3.329072164,0.57788,1864.0,4.8,8.74,7.55,45.0
1973-10-01,108.209999,0.884955752212393,4.775638756,1.06692,1847.8,4.6,10.9,6.91,45.6
1973-11-01,107.690002,0.657894736842108,4.938670847,0.48382,1849.5,4.8,9.88,6.71,45.9
1974-02-01,95.32,1.28755364806866,6.303969131,0.68527,1827.1,5.2,9.31,7.0,47.3
1974-03-01,95.529999,1.27118644067797,6.831393725,0.72455,1820.3,5.1,8.97,7.08,47.8
1974-04-01,93.25,0.418410041841006,7.120384207,0.67741,1814.8,5.1,10.01,7.42,48.1
1974-05-01,92.220001,1.24999999999999,7.749650582,0.96397,1799.6,5.1,10.57,7.62,48.6
1974-07-01,86.019997,0.816326530612248,9.552860371,1.08764,1787.8,5.5,14.33,7.65,49.3
1974-08-01,78.75,1.21457489878543,10.130319088,1.11583,1771.7,5.5,12.25,7.92,49.9
1974-10-01,63.389999,0.988142292490123,10.591306867,0.99197,1751.6,6.0,11.3,7.97,51.0
1974-11-01,73.879997,0.782778864970649,11.017162794,0.78548,1744.9,6.6,9.65,7.8,51.5
1975-04-01,82.639999,0.379506641366226,11.729239119,0.65849,1764.3,8.8,5.48,8.08,53.0
1975-05-01,88.099998,0.567107750472592,10.951529411,0.27444,1785.1,9.0,5.55,8.31,53.1
1975-07-01,94.849998,1.11940298507463,9.787927045,0.46225,1805.7,8.6,6.12,7.97,54.0
1975-08-01,87.989998,0.184501845018451,8.938380195,0.3753,1813.8,8.4,6.24,8.26,54.2
1975-10-01,82.93,0.549450549450552,8.142102792,0.63146,1817.5,8.4,6.24,8.47,54.9
1975-12-01,90.669998,0.361663652802895,7.727553082,0.62189,1827.7,8.2,5.31,8.12,55.6
1976-03-01,100.019997,0.179211469534051,7.388426262,0.50718,1875.0,7.6,5.21,7.86,56.0
1976-04-01,102.239998,0.357781753130592,6.899629973,0.268,1890.9,7.7,4.83,7.68,56.1
1976-06-01,99.849998,0.530973451327436,6.922850698,0.54871,1900.5,7.6,5.58,7.94,56.7
1976-07-01,103.589996,0.528169014084509,7.140992224,0.67041,1905.8,7.8,5.58,7.88,57.0
1976-09-01,104.059998,0.34843205574913,7.125381525,0.5587,1928.5,7.6,5.25,7.64,57.6
1976-10-01,104.169998,0.520833333333336,6.910786682,0.42564,1943.0,7.7,5.32,7.49,57.9
1976-11-01,103.099998,0.172711571675303,6.633941823,0.50422,1959.0,7.8,5.04,7.38,58.1
1976-12-01,102.489998,0.344827586206898,6.218614511,0.29614,1972.6,7.8,4.67,6.97,58.4
1977-02-01,102.540001,1.02564102564103,6.063399587,0.4798,1985.8,7.6,4.58,7.41,59.3
